1789 les amants de la bastille | Au palais royal
Il était une fois | Il était une fois nous deux
Ilona | Un Monde Parfait
Ima | Drôle de vie
Images | Les démons de minuit
Indila | Boite en argent
Indila | Comme un bateau
Indila | Dernière danse
Indila | Ego
Indila | Love story
Indila | Mini World
Indila | Run Run
Indila | S.O.S
Indila | Tourner dans le vide
Indila | Tu ne m'entends pas
Indochine | 3 nuits par semaine
Indochine | 3ème Sexe
Indochine | J'ai demandé à la lune
Indochine | L'Aventurier
Indochine | Le lac
In-Grid | Tu es foutu
Isabelle Adjiani | Pull Marine
Isabelle Aubret | Deux enfants au soleil
Isabelle Aubret | La source
Isabelle Boulay | Aimons-nous
Isabelle Boulay | Amsterdam
Isabelle Boulay | Au moment d'être à vous
Isabelle Boulay | Avec le temps
Isabelle Boulay | Besame Mucho
Isabelle Boulay | Ce que tu veux
Isabelle Boulay | C'est quoi c'est l'habitude
Isabelle Boulay | C'était l'hiver
Isabelle Boulay | Coeur combat
Isabelle Boulay | Coucouroucoucou Paloma
Isabelle Boulay | Depuis le premier jour
Isabelle Boulay | Du temps pour toi
Isabelle Boulay | En t'attendant
Isabelle Boulay | Entre Matane et Baton rouge
Isabelle Boulay | Entre Matane et Baton Rouge
Isabelle Boulay | Et maintenant
Isabelle Boulay | Fin octobre, début novembre
Isabelle Boulay | Il suffirait de presque rien
Isabelle Boulay | J'ai mal à l'amour
Isabelle Boulay | Jamais assez loin
Isabelle Boulay | Je t'oublierai
Isabelle Boulay | Je voudrais
Isabelle Boulay | Jolie Louise
Isabelle Boulay | La lune
Isabelle Boulay | La Mamma
Isabelle Boulay | La vie devant toi
Isabelle Boulay | L'absence
Isabelle Boulay | L'amitié
Isabelle Boulay | L'Amour dans l'âme
Isabelle Boulay | Le banc des délaissés
Isabelle Boulay | Le coeur volcan
Isabelle Boulay | Les yeux au ciel
Isabelle Boulay | L'hymne à la beauté du monde
Isabelle Boulay | L'italien
Isabelle Boulay | Lui
Isabelle Boulay | Ma fille
Isabelle Boulay | Ma liberté
Isabelle Boulay | Ma solitude
Isabelle Boulay | Mieux qu'ici bas
Isabelle Boulay | Mille après mille
Isabelle Boulay | Nos rivières
Isabelle Boulay | Perce les nuages
Isabelle Boulay | Qu'ils s'envolent
Isabelle Boulay | Si j'étais perdu
Isabelle Boulay | Tant que l'amour existera
Isabelle Boulay | Ton histoire
Isabelle Boulay | Tout au bout de nos peines
Isabelle Boulay | Tu n'as pas besoin
Isabelle Boulay | Un monde à refaire
Izïa | La vague
J.J. Lionel | La danse des canards
Jacqueline François | Les lavandières du Portugal
Jacques Brel | Amsterdam
Jacques Brel | Amsterdam
Jacques Brel | Au suivant
Jacques Brel | Bruxelles
Jacques Brel | Ces gens là
Jacques Brel | Comment tuer l'amant de sa femme
Jacques Brel | Fernand
Jacques Brel | Fils de
Jacques Brel | J'arrive
Jacques Brel | Je ne sais pas
Jacques Brel | Jef
Jacques Brel | Jojo
Jacques Brel | La cathédrale
Jacques Brel | La chanson de Jacky
Jacques Brel | La chanson des vieux amants
Jacques Brel | La fanette
Jacques Brel | La plat pays
Jacques Brel | La quête
Jacques Brel | La valse à mille temps
Jacques Brel | La ville s'endormait
Jacques Brel | L'amour est mort
Jacques Brel | Le dernier repas
Jacques Brel | Le moribond
Jacques Brel | Le plat pays
Jacques Brel | Le tango funèbre
Jacques Brel | Les biches
Jacques Brel | Les bigotes
Jacques Brel | Les bonbons
Jacques Brel | Les bourgeois
Jacques Brel | Les Flamandes
Jacques Brel | Les flamandes
Jacques Brel | Les Marquises
Jacques Brel | Les marquises
Jacques Brel | Les prénoms de Paris
Jacques Brel | Les remparts de Varsovie
Jacques Brel | Les Toros
Jacques Brel | Les vieux
Jacques Brel | L'ivrogne
Jacques Brel | Madeleine
Jacques Brel | Marieke
Jacques Brel | Mathilde
Jacques Brel | Mon enfance
Jacques Brel | Ne me quitte pas
Jacques Brel | On n'oublie rien
Jacques Brel | Orly
Jacques Brel | Place de la contrescarpe
Jacques Brel | Quand maman reviendra
Jacques Brel | Quand on a que l'Amour
Jacques Brel | Quand on n'a que l'amour
Jacques Brel | Regarde bien petit
Jacques Brel | Rosa
Jacques Brel | Vesoul
Jacques Brel | Voir un ami pleurer
Jacques Dutronc | Fais pas ci, fais pas ça
Jacques Dutronc | Gentleman cambrioleur
Jacques Dutronc | Il est cinq heures, Paris s'éveille
Jacques Dutronc | J'aime les filles
Jacques Dutronc | La fille du Père Noël
Jacques Dutronc | L'Arsène
Jacques Dutronc | Le petit jardin
Jacques Dutronc | Les cactus
Jacques Dutronc | Les playboys
Jacques Dutronc | L'hôtesse de l'air
Jacques Dutronc | L'opportuniste
Jacques Dutronc | Mini mini
Jacques Dutronc | On nous cache tout on nous dit rien
Jacques Higelin | Champagne
Jacques Higelin | La croisade des enfants
Jacques Higelin | Tombé du ciel
Jaïro | Les jardins du ciel
Jakie Quartz | Mise au point
Jane Birkin | Ex-fan des sixties
Jane Birkin | Fuir le bonheur de peur qu'il ne se sauve
Jane Birkin | La gadoue
Jane Birkin | Quoi
Jean Ferrat | 2 enfants au soleil
Jean Ferrat | A la une
Jean Ferrat | Aimer à perdre la raison
Jean Ferrat | C'est beau la vie
Jean Ferrat | C'est si peu dire que je t'aime
Jean Ferrat | C'est toujours la première fois
Jean Ferrat | J'entends, j'entends
Jean Ferrat | La montagne
Jean Ferrat | La paix sur terre
Jean Ferrat | Les yeux d'Elsa
Jean Ferrat | Ma France
Jean Ferrat | Ma môme
Jean Ferrat | Nul ne guérit de son enfance
Jean Ferrat | On ne voit pas le temps passer
Jean ferrat | Que serais-je sans toi
Jean Ferrat | Sacré Félicien
Jean Gabin | Maintenant je sais
Jean Gabin | Maintenant, je sais
Jean Jacques Goldman | Quelque chose de bizarre
Jean Sablon | Vous qui passez sans me voir
Jean Schulteis | Confidence pour confidence
Jean Vallée | L'Amour ça fait chanter la vie
Jeane Manson | Avant de nous dire Adieu
Jeane Manson | Ce n'est qu'un au revoir
Jeane Manson | Est-ce qu'on s'aime encore
Jeane Manson | La chapelle de Harlem
Jean-François Michael | Comme j'ai toujours envie d'aimer
Jean-François Michael | Je pense à toi
Jean-François Michael | Si L'Amour Existe Encore
Jean-Jacques Debout | Nos doigts se sont croisés
Jean-Jacques Goldman | Américain
Jean-Jacques Goldman | Au bout de mes rêves
Jean-Jacques Goldman | Autre histoire
Jean-Jacques Goldman | Bonne idée
Jean-Jacques Goldman | C'est pas d'l'amour
Jean-Jacques Goldman | C'est ta chance
Jean-Jacques Goldman | Comme toi
Jean-Jacques Goldman | Compte pas sur moi
Jean-Jacques Goldman | Confidentiel
Jean-Jacques Goldman | Des bouts de moi
Jean-Jacques Goldman | Doux
Jean-Jacques Goldman | Elle a fait un bébé toute seule
Jean-Jacques Goldman | Elle attend
Jean-Jacques Goldman | En passant
Jean-Jacques Goldman | Encore un matin
Jean-Jacques Goldman | Ensemble
Jean-Jacques Goldman | Entre gris clair et gris foncé
Jean-Jacques Goldman | Envole-moi
Jean-Jacques Goldman | Et l'on n'y peut rien
Jean-Jacques Goldman | Etre le premier
Jean-Jacques Goldman | Famille
Jean-Jacques Goldman | Fermer les yeux
Jean-Jacques Goldman | Filles faciles
Jean-Jacques Goldman | Il changeait la vie
Jean-Jacques Goldman | Il suffira d'un signe
Jean-Jacques Goldman | Il y a
Jean-Jacques Goldman | Je commence demain
Jean-Jacques Goldman | Je marche seul
Jean-Jacques Goldman | Je ne vous parlerai pas d'elle
Jean-Jacques Goldman | Je te donne
Jean-Jacques Goldman | Je voudrais vous revoir
Jean-Jacques Goldman | Jeanine médicament blues
Jean-Jacques Goldman | Juste quelques hommes
Jean-Jacques Goldman | La vie par procuration
Jean-Jacques Goldman | Là-bas
Jean-Jacques Goldman | Le coureur
Jean-Jacques Goldman | Le rapt
Jean-Jacques Goldman | Les choses
Jean-Jacques Goldman | Les murailles
Jean-Jacques Goldman | Les p'tits chapeaux
Jean-Jacques Goldman | Ne lui dis pas
Jean-Jacques Goldman | Nos mains
Jean-Jacques Goldman | Nous ne nous parlerons pas
Jean-Jacques Goldman | On ira
Jean-Jacques Goldman | Pas toi
Jean-Jacques Goldman | Petite fille
Jean-Jacques Goldman | Peur de rien blues
Jean-Jacques Goldman | Pour que tu m'aimes encore 98
Jean-Jacques Goldman | P'tit blues peinard
Jean-Jacques Goldman | Puisque tu pars
Jean-Jacques Goldman | Quand la musique est bonne
Jean-Jacques Goldman | Quand tu danses
Jean-Jacques Goldman | Qu'elle soit elle
Jean-Jacques Goldman | Reprendre c'est voler
Jean-Jacques Goldman | Sache que je
Jean-Jacques Goldman | Si je t'avais pas
Jean-Jacques Goldman | Si tu m'emmènes
Jean-Jacques Goldman | Sister Jane
Jean-Jacques Goldman | Ton autre chemin
Jean-Jacques Goldman | Tournent les violons
Jean-Jacques Goldman | Tout était dit
Jean-Jacques Goldman | Tout petit monde
Jean-Jacques Goldman | Veiller tard
Jean-Jacques Lafon | Le géant de papier
Jean-Louis Aubert | Ailleurs
Jean-Louis Aubert | Commun-Accord
Jean-Louis Aubert | Demain Sera Parfait
Jean-Louis Aubert | Juste une illusion
Jean-Louis Aubert | Le long le l'eau
Jean-Louis Aubert | Les plages
Jean-Louis Aubert | Maintenant
Jean-Louis Aubert | Marcelle
Jean-Louis Aubert | Milliers Millions Milliards
Jean-Louis Aubert | On aime
Jean-Louis Aubert | Parle moi.
Jean-Louis Aubert | Puisses-tu
Jean-Louis Aubert | Solitude
Jean-Louis Aubert | Temps A Nouveau
Jean-Louis Aubert | Voilà, c'est fini
Jean-Luc Lahaye | Débarquez-moi
Jean-Luc Lahaye | Femme que j'aime
Jean-Luc Lahaye | Papa chanteur
Jean-Michel Caradec | Le fil du funambule
Jeanne Mas | Johnny, Johnny
Jeanne Mas | Rouge et noir
Jeanne Mas | Toute première fois
Jeanne Moreau | J'ai la mémoire qui flanche
Jeanne Moreau | Le tourbillon
Jean-Pascal | L'agitateur
Jean-Pierre Ferland | Une chance qu'on s'a
Jean-Pierre Mader | Disparue
Jean-Pierre Mader | Macumba
Jena Lee | Eternise moi
Jena Lee | J'aimerai tellement
Jena Lee | Je me perds
Jena Lee | Mon ange
Jena Lee | US Boy
Jenifer | Au soleil
Jenifer | Comme un yoyo
Jenifer | Donne-moi le temps
Jenifer | Laisse tomber les filles
Jenifer | L'Amour et moi
Jenifer | Mademoiselle fume
Jenifer | Maintenant
Jenifer | Poupée de cire poupée de son
Jenifer | Sur le fil
Jessica Paré | Zou Bisou Bisou
Joe Dassin | A mon fils
Joe Dassin | A toi
Joe Dassin | Aux Champs-Elysées
Joe Dassin | Ca va pas changer le monde
Joe Dassin | C'est la vie Lily
Joe Dassin | Dans les yeux d'Emilie
Joe Dassin | Et si tu n'existais pas
Joe Dassin | Guantanamera
Joe Dassin | Il faut naître à Monaco
Joe Dassin | La complainte de l'heure de pointe
Joe Dassin | La demoiselle de déshonneur
Joe Dassin | La fleur aux dents
Joe Dassin | La vie se chante, la vie se pleure
Joe Dassin | L'Amérique
Joe Dassin | Le café des trois colombes
Joe Dassin | Le chemin de Papa
Joe Dassin | Le dernier slow
Joe Dassin | Le petit pain au chocolat
Joe Dassin | L'équipe à Jojo
Joe Dassin | Les Champs-Elysées
Joe Dassin | Les plus belles années de ma vie
Joe Dassin | Ma bonne étoile
Joe Dassin | Mon village du bout du monde
Joe Dassin | Salut les Amoureux
Joe Dassin | Si tu t'appelles mélancolie
Joe Dassin | Siffler sur la colline
Joëlle Ursull | White and black Blues
John William | Si toi aussi tu m'abandonnes
Johnny Hallyday | A propos de mon père
Johnny Hallyday | Aimer vivre
Johnny Hallyday | Allumer le feu
Johnny Hallyday | Avant
Johnny Hallyday | Blue Suede Shoes
Johnny Hallyday | Cadillac
Johnny Hallyday | Cartes postales d'Alabama
Johnny Hallyday | C'est la vie qui veut ça
Johnny Hallyday | C'est mieux ainsi
Johnny Hallyday | Cet homme que voilà
Johnny Hallyday | Cheveux longs et idées courtes
Johnny Hallyday | Comme le soleil
Johnny Hallyday | Comme un corbeau blanc
Johnny Hallyday | Cours plus vite Charlie
Johnny Hallyday | Dandy
Johnny Hallyday | Dégage
Johnny Hallyday | Derrière l'amour
Johnny Hallyday | Deux étrangers
Johnny Hallyday | Elle est terrible
Johnny Hallyday | Entre nous
Johnny Hallyday | Et maintenant
Johnny Hallyday | Fils de personne
Johnny Hallyday | Frankie et Johnny
Johnny Hallyday | Gabrielle
Johnny Hallyday | Hey Joe
Johnny Hallyday | I got a woman
Johnny Hallyday | Il faudra plus de temps que m'en donnera la vie
Johnny Hallyday | Il nous faudra parler d'Amour un jour
Johnny Hallyday | J'ai oublié de vivre
Johnny Hallyday | J'ai pleuré sur ma guitare
Johnny Hallyday | J'aimerais pouvoir encore souffrir comme ça
Johnny Hallyday | Je ne suis pas un héros
Johnny Hallyday | Je sais que tu ne peux pas trouver mieux ailleurs
Johnny Hallyday | Je suis seul
Johnny Hallyday | Je suis victime de l'amour
Johnny Hallyday | Je t'ai aimée
Johnny Hallyday | Johnny lui dit Adieu
Johnny Hallyday | Joue pas de rock'n'roll pour moi
Johnny Hallyday | La fille aux cheveux clairs
Johnny Hallyday | La fille de l'été dernier
Johnny Hallyday | La génération perdue
Johnny Hallyday | La guitare fait mal
Johnny Hallyday | La musique que j'aime
Johnny Hallyday | La quête
Johnny Hallyday | La Terre promise
Johnny Hallyday | Le bon temps du Rock'nRoll
Johnny Hallyday | Le coeur en deux
Johnny Hallyday | Le feu
Johnny Hallyday | Le pénitencier
Johnny Hallyday | Le survivant
Johnny Hallyday | Les cactus
Johnny Hallyday | L'hymne à l'Amour
Johnny Hallyday | L'idole des jeunes
Johnny Hallyday | Ma chérie c'est moi
Johnny Hallyday | Ma gueule
Johnny Hallyday | Madison Twist
Johnny Hallyday | Marie
Johnny Hallyday | Merci
Johnny Hallyday | Mon p'tit loup
Johnny Hallyday | Noël interdit
Johnny Hallyday | Noir c'est noir
Johnny Hallyday | Non, je ne regrette rien
Johnny Hallyday | O Carole
Johnny Hallyday | Oh ma jolie Sarah
Johnny Hallyday | Pardon
Johnny Hallyday | Pas cette chanson
Johnny Hallyday | Pour moi la vie va commencer
Johnny Hallyday | Pour nos joies et pour nos peines
Johnny Hallyday | Quand revient la nuit
Johnny Hallyday | Que je t'Aime
Johnny Hallyday | Que restera t il
Johnny Hallyday | Quelques cris
Johnny Hallyday | Qu'est ce que tu croyais
Johnny Hallyday | Regarde moi t'aimer
Johnny Hallyday | Requiem pour un fou
Johnny Hallyday | Retiens la nuit
Johnny Hallyday | Revoilà ma solitude
Johnny Hallyday | Rock'n Roll man
Johnny Hallyday | Salut Charlie
Johnny Hallyday | Sarbacane
Johnny Hallyday | Si j'étais un charpentier
Johnny Hallyday | Souvenirs souvenirs
Johnny Hallyday | Sur ma vie
Johnny Hallyday | T'Aimer follement
Johnny Hallyday | Tanagra
Johnny Hallyday | Te manquer
Johnny Hallyday | That's all right Mama
Johnny Hallyday | Toujours là
Johnny Hallyday | Tout au bout de nos peines
Johnny Hallyday | Un homme comme les autres
Johnny Hallyday | Un jour, l'amour te trouvera
Johnny Hallyday | Un nouveau jour
Johnny Hallyday | Unchained Melody
Johnny Hallyday | Vivre pour le meilleur
Joséphine Baker | J'ai deux Amours
Joséphine Baker | La petite Tonkinoise
Josh Groban | Hymne à l'Amour
Josh Groban | Petit Papa Noël
Joyce Jonathan | Ca ira
Joyce Jonathan | Caractère
Joyce Jonathan | Je ne sais pas
Joyce Jonathan | Le bonheur
Joyce Jonathan | Le piège
Joyce Jonathan | Les souvenirs
Joyce Jonathan | L'heure avait sonné
Joyce Jonathan | Pas besoin de toi
Joyce Jonathan | Prend ton temps
Joyce Jonathan | Sur mes gardes
Joyce Jonathan | Tant pis
Joyce Jonathan | Un peu d'espoir
Judith | Te passe pas de moi
Julianne Deville | La vie n'est plus qu'un jeu
Julie Pietri | Eve lève toi
Julie Piétri | Et c'est comme si
Julie Piétri | Magdalena
Julie Zenatti | Ce qu'il me reste de toi
Julie Zenatti | Fragile
Julie Zenatti | La vie fait ce qu'elle veut
Julie Zenatti | Les amis
Julie Zenatti | Prends soin de moi
Julien Clerc | Avant qu'on aille au fond des choses
Julien Clerc | Ce n'est rien
Julien Clerc | Double enfance
Julien Clerc | Fais-moi une place
Julien Clerc | Femmes je vous aime
Julien Clerc | Hotel des caravelles
Julien Clerc | La fille aux bas nylon
Julien Clerc | La jupe en laine
Julien Clerc | Laisson entrer le soleil
Julien Clerc | Le patineur
Julien Clerc | Le temps d'Aimer
Julien Clerc | Les séparés
Julien Clerc | Lili voulait aller danser
Julien Clerc | Ma préférence
Julien Clerc | Mélissa
Julien Clerc | On ne se méfie jamais assez
Julien Clerc | Quand je joue
Julien Clerc | Quelques mots en ton nom
Julien Clerc | Respire
Julien Clerc | Si j'étais elle
Julien Clerc | Si on chantait
Julien Clerc | This melody
Julien Clerc | Travailler c'est trop dur
Julien Clerc | Une vie de rien
Julien Comblat | Bien évidemment
Julien Doré | Corbeau blanc
Julien Doré | Figures imposées
Julien Doré | First Lady
Julien Doré | Les bords de mer
Julien Doré | Les limites
Julien Doré | Paris Seychelles
Juliette Gréco | Jolie môme
Juliette Gréco | Parlez-moi d'Amour
Julio Iglesias | Aimer la vie
Julio Iglesias | Ce n'est rien qu'un au revoir
Julio Iglesias | Coeur de papier
Julio Iglesias | Il faut toujours un perdant
Julio Iglesias | Je n'ai pas changé
Julio Iglesias | Le monde est beau, le monde est fou
Julio Iglesias | Ne me parle plus d'amour
Julio Iglesias | Nostalgie
Julio Iglesias | Où est passée ma Bohême
Julio Iglesias | Pauvres diables
Julio Iglesias | Une nuit de carnaval
Julio Iglesias | Viens m'embrasser
Julio Iglésias | C'est toi ma chanson
Julio Iglésias | Fidèle
Julio Iglésias | Un jour tu ris, un jour tu pleures
Julio Iglésias | Un jour, c'est toi, un jour, c'est moi
Justin Nozuka | Heartless
Kamini | Marly-Gomont
Karen Cheryl | Les nouveaux romantiques
Karol | Le Bateau Blanc
Karol | L'oiseau et l'enfant
Kate Ryan | Toute première fois
Keen'V | Dis-moi oui
Keen'V | J'aimerais trop
Keen'V | Ma vie au soleil
Keen'V | Petite Emilie
Keen'V | La vie du bon côté
Kendji Girac | Andalouse
Kendji Girac | Au sommet
Kendji Girac | Avec toi
Kendji Girac | Bella
Kendji Girac | C'est trop
Kendji Girac | Color Gitano
Kendji Girac | Conmigo
Kendji Girac | Cool
Kendji Girac | Elle m'a aimé
Kendji Girac | Je m'abandonne
Kendji Girac | La bohême
Kendji Girac | Les yeux de la mama
Kendji Girac | Ma philosophie
Kendji Girac | Me quemo
Kendji Girac | Mi amor
Kendji Girac | Mon univers
Kendji Girac | No me mirès mas
Kendji Girac | Toi et moi
Kendji Girac | Tu y yo
Khaled | Aicha
Khaled | C'est la vie
Kids United | Eblouie par la nuit
Kids United | Happy
Kids United | On écrit sur les murs
Kids United | Parce qu'on vient de loin
Kids United | Sauver l'amour
Kids United | Toi plus moi
Kyo | Chaque seconde
Kyo | Contact
Kyo | Dernière danse
Kyo | Je cours
Kyo | Le chemin
Kyo | Le chemin 
Kyo | Le Graal
L5 | Question de survie
L5 | Toutes les femmes de ta vie
La bande à Basile | La chenille
La bande à Basile | Les chansons Françaises
La Bande à Renaud | Dès que le vent soufflera
La bande à Renaud | La ballade Nord-Irlandaise
La bande à Renaud | La mère à Titi
La Belle et la Bête | Histoire éternelle
La Belle et la Bête | La Belle et la Bête
La Belle et la Bête | Tant qu'il y aura Noël
La belle et le clochard | La bella notte
La cité de la peur | La Carioca
La Compagnie Créole | Au bal masqué
La Compagnie Créole | Ba moin en tibo
La Compagnie Créole | Bons baisers de Fort-de-France
La Compagnie Créole | Ca fait rire les oiseaux
La Compagnie Créole | C'est bon pour le moral
La Compagnie Créole | Premiere biguine partie
La compagnie Créole | Scandale dans la famille
La Compagnie Créole | Viva La Fiesta
La Compagnie Créole | Vive le douanier Rousseau
La petite sirène | Partir là-bas
Laam | Chanter pour ceux
Lââm | De ton indifférence
L'affaire Louis Trio | Bois ton café
L'affaire Louis trio | Mobilis in mobile
L'affaire Louis Trio | Tout mais pas ça
L'affaire luis Trio | Nous on a tout
L'Albatros | Adieu
Lara Fabian | Amoureuse
Lara Fabian | Bambina
Lara Fabian | Comme ils disent
Lara Fabian | Croire
Lara Fabian | Il y a
Lara Fabian | Je n'aurai pas le temps
Lara Fabian | Je suis malade
Lara Fabian | Je t'aime
Lara Fabian | La différence
Lara Fabian | La lettre
Lara Fabian | L'hymne à l'Amour
Lara Fabian | Mamy Blue
Lara Fabian | Mistral Gagnant
Lara Fabian | Nuit Magique
Lara Fabian | Quand on a que l'Amour
Lara Fabian | Russian Fairy Tale
Lara Fabian | Si tu n'as pas d'Amour
Lara Fabian | Soleil soleil
Lara Fabian | Tu es mon autre
Lara Fabian | Voir un ami pleurer
Laroche-Valmont | T'as le look coco
Latin Lovers | Vous les femmes
Laurent Voulzy | Amélie Colbert
Laurent Voulzy | Belle Île en mer
Laurent Voulzy | Bubble star
Laurent Voulzy | Derniers baisers
Laurent Voulzy | Désir, Désir
Laurent Voulzy | Je suis venu pour elle
Laurent Voulzy | Jeanne
Laurent Voulzy | Jelly Bean
Laurent Voulzy | Karin Redinger
Laurent Voulzy | La fille d'Avril
Laurent Voulzy | Le coeur grenadine
Laurent Voulzy | Le pouvoir des fleurs
Laurent Voulzy | Le rêve du pêcheur
Laurent Voulzy | My song of you
Laurent Voulzy | Paradoxal Système
Laurent Voulzy | Rockollection
Laurent Voulzy | Oiseau malin
Le Bossu de Notre-Dame | Rien qu'un jour
Le grand orchestre du Splendid | La Salsa du Démon
Le grand Orchestre du Splendid | Qu'est-ce qu'on attend
Le grand Orchestre du Splendid | Tiens, tiens, tiens
Le Livre de la Jungle | Il en faut peu pour être heureux 
Le roi lion | Hakuna Matata
Le Roi Lion | Il vit en toi 
Le roi lion | L'histoire de la vie
Le Roi Lion | Nous sommes un
Le roi Soleil | A qui la faute
Le roi soleil | Alors d'accord
Le roi soleil | Ca marche
Le roi soleil | Contre ceux d'en haut
Le roi Soleil | Encore du temps
Le roi soleil | Entre ciel et terre
Le roi soleil | Et vice Versailles
Le roi Soleil | Etre à la hauteur
Le roi soleil | Je fais de toi mon essentiel
Le roi soleil | Je serai à lui
Le roi Soleil | J'en appelle
Le roi Soleil | La vie passe
Le roi soleil | Où ça mène quand on s'Aime
Le roi soleil | Personne n'est personne
Le roi soleil | Pour arriver à moi
Le roi soleil | Repartir
Le roi Soleil | S'Aimer est interdit
Le roi soleil | Tant qu'on rêve encore
Le roi soleil | Un geste de vous
Lena Kann | Tous les cris, les SOS
Leny Escudero | Pour une amourette
Lény Escudéro | Ballade à Sylvie
Lény Escudéro | Pour une amourette
Léo Ferré | Avec le temps
Léo Ferré | C'est extra
Léo Ferré | Jolie môme
Léo Ferré | Le temps du tango
Léo Ferré | Paris canaille
Léonard Cohen | Bird on a wire
Les 500 Choristes | Petit Papa Noël
Les Aristochats | Des gammes et des arpèges
Les Aristochats | Tout le monde veut devenir un cat
Les Aristos | Cette chanson elle est pour toi
Les Aristos | Monsieur Cannibale
Les Aristos | Pour Oublier
Les Aristos | Ton visage maquillé de joie
Les Astronautes | Fol Espoir
Les Baronets | Ca Recommence
Les Baronets | Johanne
Les BB | Donne-moi ma chance
Les BB | L'éternel est éphémère
Les BB | Parfum du passé
Les BB | Seul au combat
Les BB | T'es dans la lune
Les BB | Tu ne sauras jamais
Les BB | Twist de nuit
Les Bronzés | Darla Dirladada
Les Charlots | Merci patron
Les Charlots | Paulette, la reine des paupiettes
Les Charts | Aime-moi encore
Les chats sauvages | C'est pas sérieux
Les chats sauvages | Twist à Saint-Tropez
Les chaussettes noires | Be bop a Lula
Les chaussettes noires | La leçon de Twist
Les chaussettes noires | Tu parles trop
Les Choristes | Caresse sur l'océan
Les Colocs | La rue principale
Les conards | Comme des connards
Les Demoiselles de Rochefort | Chanson des jumelles
Les dix commandements | L'envie d'Aimer
Les dix commandements | Mon frère
Lara Fabian | Une femme avec une femme
Brice Conrad | Ils s'aiment
Chimène Badi | Une autre histoire
Elisa Tovati | Tout doucement
Grégoire | Le coup de soleil
John Mamann | Elle a les yeux revolver
Mickael Miro | Le géant de papier
Natasha St-Pier | Tandem
Les Enfoirés | Aimer est plus fort que d'être aimé
Les Enfoirés | Attention au départ
Les enfoirés | Dis-lui toi que je t'Aime
Les enfoirés | Ecris l'histoire
Les enfoirés | Et maintenant
Les enfoirés | Hier encore
Les Enfoirés | La chanson des restos 
Les Enfoirés | L'amitié
Les Enfoirés | Le tourbillon de la vie
Les Enfoirés | Liberté
Les enfoirés | Mistral gagnant
Les enfoirés | Non, je ne regrette rien
Les enfoirés | On demande pas la lune
Les Enfoirés | On se retrouvera
Les enfoirés | Quand on a que l'Amour
Les enfoirés | Sauver l'Amour
Les Enfoirés | Un autre monde
Les enfoirés | Un jour de plus au Paradis
Les Forbans | Chante
Les Forbans | Tape des mains
Les G.O. Cuture | Darla Dirladada
Les Gipsy Kings | Bamboleo
Les Gipsy Kings | Djobi, djoba
Les Gipsy Kings | Volare
Les Inconnus | Auteuil Neuilly Passy
Les Inconnus | Isabelle a les yeux bleus
Les Inconnus | Rap tout
Les Infidèles | Les larmes des maux
Les Innocents | Colore
Les Innocents | L'autre Finistère
Les Innocents | Un monde parfait
Les Musclés | C'est la fête au village
Les Musclés | La fête au village
Les Negresses Vertes | La gadoue
Les Négresses Vertes | Sous le soleil de Bodega
Les Négresses Vertes | Voilà l'été
Les Parisiennes | Il fait trop beau pour travailler
Les Pirates avec Dany logan | de tout mon coeur
Les Poppys | Noël 70
Les Poppys | Non, non, rien a changé
Les Rondelettes | A tous les mecs
Les stars font leur cinéma | Like A Maniac
Les sunlights | Les roses blanches
Les Vagabonds | Le temps des copains
Les Vagabons | Le temps des Yéyés
Leslie | Mise au point
Létrange Noël de Monsieur Jack | La complainte de Jack
Létrange Noël de Monsieur Jack | La complainte de Sally
Létrange Noël de Monsieur Jack | Le Boogie Blues
Liane Foly | Au fur et à mesure
Liane Foly | Ca va ça vient
Liane Foly | Des heures hindoues
Liane Foly | Fais-moi une place
Liane Foly | La vie ne m'apprend rien
Liane Foly | Misty
Liane Foly | On a tous le droit
Liane Foly | Vivre ou survivre
Licence IV | Viens boire un p'tit coup à la maison
Lilian Renaud | Pour ne plus avoir peur
Lilian Renaud | Promis juré
Lilicub | Voyage en Italie
Lina Margy | Le petit vin blanc
Linda de Suza | Tiroli Tirola
Linda Lemay | La centenaire
Linda Lemay | Ma pus belle déception
Line Andres | Quand le soleil était là
Line Renaud | Copacabana
Line Renaud | Etoile des neiges
Line Renaud | Ma p'tite folie
Lio | Banana Split
Lio | Plus je t'embrasse
Lisa Angell | Frou frou
Lisa Angell | J'ai deux Amours
Lisa Angell | Je saurai t'Aimer
Lisa Angell | L'accordéoniste
Lisa Angell | Le petit bal perdu
Lisa Angell | Méditerranée
Lisa Angell | Mourir d'Aimer
Lisa Angell | Non, je ne regrette rien
Lisa Angell | Sous le ciel de Paris
Lisa Angell | Trois petites notes de musique
Lisa Angell | Un jour tu verras
Lisa Angell | Un peu plus haut, un peu plus loin
Lisa Angell | Vous qui passez sans me voir
Little | Je veux des violons
Lolita | Jolie garçon
Lorie | Je serai (ta meilleure amie)
Lorie | Le coup de soleil
Louane | Chambre 12
Louane | Je vole
Louane | Maman
Louane | Quelqu'un m'a dit
Louis Bertignac | Ces idées là
Louis Bertignac | Je Joue
Louis Bertignac | Les froleuses
Louis Chedid | Ainsi soit-il
Louis Chedid | Anne, ma soeur Anne
Louis Chedid | Ces mots sont pour toi
Louis Chedid | La belle
Louis Chedid | On ne dit jamais assez aux gens qu'on aime
