1789 les amants de la bastille | Au palais royal
Bourvil | C'est une gamine charmante
Bourvil | C'était bien au petit bal perdu
Bourvil | Des sous d'côté
Bourvil | Deux petits chats
Bourvil | La ballade Irlandaise
Bourvil | La rumba du pinceau
Bourvil | La tactique du Gendarme
Bourvil | La tendresse
Bourvil | Le facteur
Bourvil | Le fromage au lait
Bourvil | Le petit bal perdu
Bourvil | Le p'tit coup de chance
Bourvil | Les abeilles
Bourvil | Les crayons
Bourvil | Les enfants Fan Fan
Bourvil | Les hirondelles
Bourvil | Les pruneaux
Bourvil | Les rois fainéants
Bourvil | Ma p'tite chanson
Bourvil | Maurice
Bourvil | Moi ma maison
Bourvil | Mon papa joue du trombonne
Bourvil | Nous n'irons pas à Calcutta
Bourvil | Passe moi les crudités
Bourvil | Pouet Pouet
Bourvil | Pour être un jour aimé de toi
Bourvil | Pour se parler d'amour
Bourvil | Quand même
Bourvil | Salade de fruits
Bourvil | Simple chanson d'Amour
Bourvil | Sous la lune
Bourvil | Timichine la Pou-Pou
Bourvil | Un clair de lune à Maubeuge
Bourvil | Vive la chasse
Bourvil | Vraiment ça tombe bien
Bratisla Boys | Stach Stach
Brice Conrad | Fleur du mal
Brice Conrad | Léa
Brice Conrad | Oh La
Brigitte | Allumer le feu
Brigitte | Battez-vous
Brigitte Bardot | Ah les p'tites femmes de Paris
Brigitte Bardot | Harley Davidson
Brigitte Bardot | Tu veux ou tu veux pas
Bruno Pelletier | Je ne suis qu'une chanson
Bruno Pelletier | Ma vie
Bruno Pelletier | Minuit Chrétiens
BZN | Mon Amour
C Jerome | C'est moi
C Jerome | Derniers baisers
C Jerome | Et tu danses avec lui
C Jerome | Himalaya
C Jerome | Kiss me
C Jerome | La petite fille 73
C Jerome | Les larmes aux yeux
C Jerome | Les Manons de la nuit
C Jerome | Manhattan
C Jerome | Quand la mer se retire
C Jérome | Bye Bye 25 38
C Jérome | Derniers Baisers
C Jérome | Et tu danses avec lui
C Jérome | Kiss me
Cabaret Le Musical de Broadway | Cabaret
Calogero | Aussi libre que moi
Calogero | Avant toi
Calogero | Conduire en Angleterre
Calogero | Dire
Calogero | En apesanteur
Calogero | Le portrait
Calogero | L'éclipse
Calogero | Nathan
Calogero | Tien an men
Calogero | Un jour au mauvais endroit
Camélia Jordana | J'étais une fille
Camélia Jordana | Non non non (Ecouter Barbara)
Carla Bruni | La dernière minute
Carla Bruni | L'Amoureuse
Carla Bruni | Le temps perdu
Carla Bruni | Quelqu'un m'a dit
Carlos | Big bisou
Carlos | Je suis un rigolo
Carlos | La Bamboula
Carlos | La Coladeira
Carlos | Le bougalou du loup garou
Carlos | Rosalie
Carlos | Senor météo
Carlos | Tout nu et tout bronzé
Carmen Maria Vega | La menteuse
Carmen Maria Vega | Mon homme
